productPriceLocal,productId,productName,productCategoryId,productCategoryName,productVendorName,productGroupId,Location,eventPosition
32990.00,20031456,Стиральная машина узкая Bosch Serie 6 3D Washing  WLT24440OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
19990.00,20032713,Стиральная машина узкая Hotpoint-Ariston RST 702 ST S ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
32990.00,20029099,Стиральная машина Узкая AEG AMS7000U ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultFirstPartBlock,3
14990.00,20056208,Стиральная машина Узкая Indesit MSD 615 ,cat2_cis_0000000049,Стиральные машины,Indesit,cat1_cis_0000000183,newSearchResultFirstPartBlock,4
23990.00,20040496,Стиральная машина Узкая Haier HW60-12829A ,cat2_cis_0000000049,Стиральные машины,Haier,cat1_cis_0000000183,newSearchResultFirstPartBlock,5
30490.00,20056422,Стиральная машина Узкая LG FH2G6HDS2 ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultFirstPartBlock,6
22990.00,20039531,Стиральная машина узкая Hotpoint-Ariston RST 7229 ST X RU ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultSecondPartBlock,1
31990.00,20036718,Стиральная машина узкая Samsung WW65K52E69W ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultSecondPartBlock,2
16990.00,20040499,Стиральная машина Узкая Beko MVE 69512 ZAW ,cat2_cis_0000000049,Стиральные машины,Beko,cat1_cis_0000000183,newSearchResultSecondPartBlock,3
26490.00,20026563,Стиральная машина узкая Bosch Serie | 4 VarioPerfect WLG20240OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultSecondPartBlock,4
25990.00,20039429,Стиральная машина узкая Samsung WW60J30G03W ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultSecondPartBlock,5
18990.00,20032636,Стиральная машина Узкая Hotpoint-Ariston RST 601 W ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultSecondPartBlock,6
34990.00,20036716,Стиральная машина Стандартная LG FH2G6TD2 ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
38990.00,20038027,Стиральная машина Стандартная Bosch Serie | 4 WAN24060OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
35990.00,20039412,Стиральная машина стандартная Samsung WW90J5446FW ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultFirstPartBlock,3
34990.00,20040328,Стиральная машина стандартная Electrolux EW6F4R28B ,cat2_cis_0000000049,Стиральные машины,Electrolux,cat1_cis_0000000183,newSearchResultFirstPartBlock,4
86990.00,20037137,Стиральная машина стандартная AEG L7FEC48SR ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultFirstPartBlock,5
37990.00,20039413,Стиральная машина Стандартная Samsung WW90J5446FXW ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultFirstPartBlock,6
52990.00,20042738,Стиральная машина стандартная Bosch WAT28541OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultSecondPartBlock,1
57990.00,20036804,Стиральная машина стандартная Bosch Serie | 6 WAT24442OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultSecondPartBlock,2
27999.00,20039936,Стиральная машина стандартная Hotpoint-Ariston RT 7229 ST S RU ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultSecondPartBlock,3
49990.00,20042298,Стиральная машина стандартная LG F4H9VS2S ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultSecondPartBlock,4
69990.00,20036675,Стиральная машина стандартная AEG L7FBE48SR ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultSecondPartBlock,5
